Indice,id_depto,fecha_fundacion,nombre,dominio
170,6408,1975-05-13,Bib.Pop.Soc.Fom. Julián Aguirre,sin_dominio
171,6408,1980-01-01,Bib.Pop. Alfredo L. Palacios,yahoo
172,6410,2000-04-16,Soc.y Bib.Pop. La tradición,yahoo
173,6413,1909-05-27,Bib.Pop. Olegario V. Andrade,sin_dominio
174,6413,1923-04-12,Bib.Pop. Paz y trabajo,sin_dominio
175,6413,1928-10-05,Bib.Pop. Pedro Aguilera,sin_dominio
176,6413,1930-02-04,Bib.Pop. Esteban Echeverría,sin_dominio
177,6413,1933-06-02,Bib.Pop. 9 de Julio,gmail
178,6413,1929-02-19,Bib.Pop. Manuel Belgrano,hotmail
179,6413,2022-03-11,Bib. Pop. Pio Soberano,gmail
180,6413,1940-05-07,Bib.Pop. Juan Bautista Alberdi,sin_dominio
181,6420,1985-09-01,Bib.Pop. Las Toninas,yahoo
182,6420,1992-06-15,Bib.Pop. Vito Dumas,yahoo
183,6420,2005-07-23,Bib. Pop.Dr. José María Sobral,yahoo
184,6420,1980-01-01,Bib.Pop. Juan XXIII,sin_dominio
185,6420,1980-01-01,Soc.Fo.y Bib.Pop. El Tala,sin_dominio
186,6420,1980-01-01,Bib.Pub. Alfonsina Storni,hotmail
187,6427,1963-11-03,Bib.Pop. Alfonsina Storni,sin_dominio
188,6427,1976-09-04,Bib.Pop. y Ctro Cult. José M. Estrada,hotmail
189,6427,1980-01-01,Bib.Pop. Ceferino Namuncura,sin_dominio
190,6427,1980-01-01,Bib.Pop. Delia C. de Armagno,gmail
191,6427,1980-01-01,Bib.Pop. Rotaria,yahoo
192,6427,1998-11-10,Bib.Pop. Amigos de La Tablada,yahoo
193,6427,1980-01-01,Bib.Pop. Almafuerte de Rafael Castillo,hotmail
194,6427,2000-06-01,Bib.Pop. Tinkunaku-Lugar de encuentro,yahoo
195,6427,1993-06-11,Bib.Pop. Almafuerte,yahoo
196,6427,1999-03-30,Bib. Pop. Villa Sahores,yahoo
197,6427,2003-02-21,Bib.Pop. de la Imagen (CEIC),gmail
198,6427,1930-04-18,"Centro Cultural y Recreativo, Bib.Pop. Mariano Moreno",yahoo
199,6427,1998-02-17,Bib. Pop. Madre Teresa,sin_dominio
200,6427,1999-02-02,Bib.Pop. Trabajadores del Yaguané,sin_dominio
201,6427,1999-12-06,Bib. Pop. Virrey del Pino,yahoo
202,6441,1936-09-26,Bib.Pop. Florentino Ameghino,yahoo
203,6441,1997-09-20,Bib.Pop. José Hernández,sin_dominio
204,6441,1918-05-02,Bib.Pop. Florentino Ameghino,yahoo
205,6441,1915-10-01,Bib.Pop. Bernardino Rivadavia,sin_dominio
206,6441,1927-12-27,Bib.Pop. Dr. Nicolás Avellaneda,sin_dominio
207,6441,1903-10-12,Bib.Pop. Joaquín V. González,sin_dominio
208,6441,1927-08-03,Bib. Euforión,sin_dominio
209,6441,1936-04-15,Bib.Pop.Gral. San Martín,hotmail
210,6441,1929-04-16,Cen. de Fom. M. V y Bib.Pub.Pop. Enrique Gonino,hotmail
211,6441,1941-12-06,Bib.Pop. Luis A. Repetto,gmail
212,6441,1945-01-01,Bib. Pop. Florentino Ameghino,hotmail
213,6441,1944-07-01,"Bib.Pop. Juan Vucetich, C.C. Y Dep. Aconcagua",gmail
214,6441,1947-09-21,Bib.Pop. Mario L. Sureda,sin_dominio
215,6441,1939-03-27,Bib.Pop. Mariano Moreno,sin_dominio
216,6441,1954-11-30,Bib.Pop. Dardo Rocha,sin_dominio
217,6441,1940-11-12,Bib.Pop. Bernardo de Monteagudo,sin_dominio
218,6441,1950-02-23,Bib.Pub. Central Gral. José de San Martín,sin_dominio
219,6441,1980-01-01,Bib.Pop. E. S. Discépolo para la Cult.Nac.,sin_dominio
220,6441,1980-01-01,Bib. Pop. Homero Manzi,gmail
221,6441,1960-10-12,Bib.Pop. Instituto Platense de Cult. Hispánica,sin_dominio
222,6441,1993-08-23,Asoc.Cult.Bib.Pop. Vida y Lucha de Elizalde,yahoo
223,6441,1980-01-01,Casa del Tango y Bib.Pop. Carlos Gardel,hotmail
224,6441,2001-11-04,Cen. y Bib.Pop. Carlos Bormida,yahoo
225,6441,1980-01-01,Cent.Cu. Y Bib.Pop. Enlazando palabras,hotmail
226,6441,2011-02-01,Bib.Pop. Del otro lado del árbol,hotmail
227,6441,2007-10-01,Bib.Pop. La Chicharra,gmail
228,6441,1933-09-11,Bib.Pop.Bartolomé Mitre,yahoo
229,6441,1980-01-01,Bib.Pop. Dr. Roman S. Harosteguy,yahoo
230,6441,1995-06-02,Com.Vec.y Bib.Pop. Gonnet Bell,sin_dominio
231,6441,1936-07-11,Bib. Pop. Mariano Moreno,hotmail
232,6441,1923-12-23,Bib.Pop. D.F.Sarmiento,sin_dominio
233,6441,1999-10-12,Bib. Pop. Tupac Amaru infantil y juvenil,yahoo
234,6441,1920-06-08,Bib.Pop. Alejo Iglesias,sin_dominio
235,6434,1999-04-30,Cen. y Bib.Pop. Osvaldo Pugliese,sin_dominio
236,6434,1917-09-07,Bib.Pop. Libertador San Martín,sin_dominio
237,6434,1945-10-12,Bib. Pp. Soc. Bomberos Voluntarios de Lanús,sin_dominio
238,6434,1994-06-06,Bib.Pop.Mun. Mariano Moreno,sin_dominio
239,6434,2001-07-16,Bib.Pop. Olga Cossettini,sin_dominio
240,6434,1980-01-01,Bib.Pop. Florentino Ameghino,hotmail
241,6434,1997-03-16,Bib.Pop. Mariano Moreno,sin_dominio
242,6434,1980-01-01,Bib.Pop. Monte Chingolo,gmail
243,6434,1919-09-19,Bib.Pop. Alberdi,gmail
244,6434,1955-09-03,Bib.Pop. Dr. E. Angel Barriocanal,yahoo
245,6434,1930-10-05,Bib. Pop. Juan B. Justo,hotmail
246,6434,1918-03-01,Bib.Pop.y Soc.Fom. D.F.Sarmiento,yahoo
247,6434,1914-12-13,Bib.Pop. 1 de Mayo,hotmail
248,6448,1940-12-01,Bib.Pop. Laprida,yahoo
249,6455,1928-08-12,Bib.Pop. 25 de Mayo,sin_dominio
250,6462,1916-08-20,Bib.Pop. D.F.Sarmiento,live
251,6462,1988-06-20,Bib.Pop. Mariano Moreno,hotmail
252,6462,1961-07-09,Bib.Pop.Mun. Esteban Echeverría,yahoo
253,6469,1945-09-17,Bib.Pop. José M. Estrada,sin_dominio
254,6469,1932-06-12,Bib.Pop. Bartolomé Mitre,hotmail
255,6469,1958-04-18,Bib. Pop. D. F. Sarmiento,yahoo
256,6469,1980-01-01,Bib.Pop. Fortín de la Cult. El triunfo,sin_dominio
257,6469,1980-01-01,Asoc.Bib.Pop.Mun. Jullian de Castiglioni,sin_dominio
258,6469,sin fecha,Bib.Pop.Mun. D.F.Sarmiento,hotmail
259,6476,1918-04-05,Bib.Pop. D.F.Sarmiento,sin_dominio
260,6469,1926-08-06,Bib.Pop. José Ingenieros,sin_dominio
261,6476,1993-06-10,Bib.Pop. San Manuel,gmail
262,6483,1920-12-27,Bib.Pop. Rivadavia,sin_dominio
263,6483,1912-03-16,Bib.Pop. D.F.Sarmiento,yahoo
264,6483,1902-01-12,Bib.Pop. Albino Capponi,yahoo
265,6483,1980-01-01,Bib.Pop. Héroes de Malvinas,sin_dominio
266,6490,1980-01-01,Bib.Pop. Alfonsina Storni,sin_dominio
267,6490,1980-01-01,Bib.Pop.Soc.Fom. Roberto Arlt,sin_dominio
268,6490,1980-01-01,Bib. Pop. Leopoldo Marechal,sin_dominio
269,6490,1980-01-01,Bib.Pop. Escritores Argentinos,yahoo
270,6490,1900-05-02,Bib. Pop. Antonio Mentruyt,gmail
271,6490,1938-09-18,Bib.Pop.E Inst.Cult. Juan María Gutierrez,sin_dominio
272,6490,2002-12-06,Bib.Pop. Julio Cortázar de Lomas Este,yahoo
273,6490,2003-01-25,Bib.Pop. de la ciudad,gmail
274,6490,1980-01-01,Bib.Pop. Vicente Longhi,hotmail
275,6490,1980-01-01,Bib.Pop. San José,yahoo
276,6490,1980-01-01,Bib.Pop. Tito Brandsma,sin_dominio
277,6490,2000-08-16,Bib.Pop. San Juan,hotmail
278,6497,2001-03-02,Bib.Pop. de Carlos Keen,gmail
279,6497,1914-11-27,Bib. Pop.  Ameghino,gmail
280,6497,1918-03-29,Bib. Obrera Jean Jaures,sin_dominio
281,6497,1996-05-25,Bib.Pop. Ernesto Sábato,sin_dominio
282,6497,1926-05-10,Bib.Pop. Juan Bautista Alberdi,hotmail
283,6505,2008-04-07,Bib.Pop. Edmundo Girardengo,gmail
284,6511,1966-07-09,Bib.Pop.Mun. Juan José Elizondo,sin_dominio
285,6515,1975-04-01,Bib.Pop. William C.Morris,yahoo
286,6515,2007-06-02,Bib. Pop. El Cruce de Papel,sin_dominio
287,6515,1998-06-13,Bib.Pop. Pablo Nogués,hotmail
288,6515,1998-11-05,Bib.Pop. de los Polvorines,gmail
289,6515,1980-01-01,La esperanza del Callao y Biblioteca Popular,sin_dominio
290,6518,1977-10-05,Bib.Pop. José Ma. Viglietti,yahoo
291,6525,1936-09-12,Bib.Pop. Gral. San Martín,gmail
292,6532,sin fecha,Bib.Pop. D.F.Sarmiento,hotmail
293,6028,1986-04-02,Bib.Pop. Malvinas argentinas,sin_dominio
294,6539,1991-01-24,Bib.Pop. Perito Moreno,sin_dominio
295,6539,1980-01-01,Bib.Pop. Manuel Galvez,sin_dominio
296,6539,1980-01-01,Bib.Pop. Génesis,sin_dominio
297,6539,2000-10-20,Bib. Pop. Ricardo Guiraldes,bibliotecaguiraldes
298,6547,1980-01-01,Asociación Cooperadora de la Biblioteca José Manuel Estrada de Abbott,sin_dominio
299,6547,1950-09-20,Bib.Pop.Mun. Manuel Belgrano,hotmail
300,6553,1980-01-01,Bib.Pop. Monte Hermoso,sin_dominio
301,6560,2000-09-15,Bib.Pop. Vicky,sin_dominio
302,6560,1954-01-24,Bib.Pop. Vicenta Castro Cambón,live
303,6560,2000-09-17,Bib.Pop.Casa.Cult. Barrio Parque San Carlos,sin_dominio
304,6560,2008-06-20,Bib.Pop. Almafuerte de Barrio Guemes,gmail
305,6560,2000-04-25,Asoc.Civ.Bib.Pop. El Cobijo,sin_dominio
306,6560,1980-01-01,Bib. Pop. San José Obrero,gmail
307,6560,1916-08-30,Bib.Pop. Mariano Moreno,cbmm
308,6560,1980-01-01,Bib.Pop. Horacio Quiroga,hotmail
309,6560,1980-01-01,Bib.Pop. El centro y los chicos,sin_dominio
310,6560,1958-08-06,Bib.Pop. Ciudad de Paso del Rey,hotmail
311,6560,1958-06-20,Sociedad de fomento San Pedro y Biblioteca Popular OLEGARIO VICTOR ANDRADE,sin_dominio
312,6560,1929-07-21,Bib.Pop. 9 de Julio,sin_dominio
313,6560,1945-02-04,Bib.Pop. Juan Manuel Giufra,hotmail
314,6560,2001-06-30,Bib. Pop. Arturo Jauretche de El Palomar,yahoo
315,6560,1971-07-29,Bib.Pop.Pub. Rosario Vera Peñaloza,sin_dominio
316,6560,1999-12-02,Bib.Pop. Parlante Sur,hotmail
317,6568,1964-03-22,Bib.Pop. José Hernández,sin_dominio
318,6568,1997-01-27,Asoc.y Bib.Pop. Juan Salvador Gaviota,hotmail
319,6574,1980-01-01,Bib. Pop. y Ctro. Cult. Almafuerte,yahoo
320,6574,1907-04-14,Bib.Pop.Pub. José R. de Erenchun,copesnet
321,6581,1980-01-01,Bib.Pop.Pub. José Hernández,sin_dominio
322,6581,1980-01-01,Bib.Pop. Andrés Ferreyra,sin_dominio
323,6581,1926-04-03,Bib.Pop. José M. Estrada,arnet
324,6581,1932-09-11,Bib.Pop. D.F.Sarmiento,sin_dominio
325,6581,1980-01-01,Bib. Pop. de Quequén,hotmail
326,6595,1980-01-01,Bib.Pop. D.F.Sarmiento,sin_dominio
327,6595,1904-06-20,Bib.Pop. Ferroviaria M.Gandhi,hotmail
328,6595,1909-07-25,Bib.Pop. Armando Collinet,sin_dominio
329,6595,1996-02-01,Bib. Pop. Héctor N. Amoroso,yahoo
330,6595,1998-11-25,Bib.Pop. Independencia,hotmail
331,6595,1980-01-01,Bib.Pop. 1 de Mayo,sin_dominio
332,6595,1980-01-01,Bib.Pop. Coty Laborde,sin_dominio
333,6595,2010-09-24,Bib.Pop. Vecinal Don Helios Eseverri,sin_dominio
334,6595,1999-12-13,Bib.Pop. Sierra Chica,sin_dominio
335,6595,1948-04-25,Bib. Pop. Sierras Bayas,yahoo
336,6595,2021-08-23,BP Del Otro Lado del Arbol,gmail
337,6602,1927-10-12,Bib.Pop. Cervantes,yahoo
338,6609,1952-06-29,Bib.Pop. Nuestra Señora de Luján,live
339,6609,1931-12-03,Bib.Pop. D.F.Sarmiento,sin_dominio
340,6609,1910-06-11,Bib.Pop. Bernardino Rivadavia,gmail
341,6609,1993-08-12,Bib.Pop. Dr. Dardo Rocha,yahoo
342,6616,1914-10-11,Bib.Pop. Bartolomé Mitre,sin_dominio
343,6623,1933-07-09,Bib.Pop. Melchor Echague,sin_dominio
344,6623,1926-12-01,Bib.Pop. Almafuerte,hotmail
345,6623,1900-10-19,Bib.Pop.Pub.Mun. Dr. Menéndez,yahoo
346,6623,1929-09-11,Bib.Pop. José Manuel Estrada,sin_dominio
347,6638,2002-03-29,Bib.Pop. P.U.M.A.,yahoo
348,6638,2007-05-15,Bib. Pop. Javier Velázquez,yahoo
349,6638,2001-09-05,Bib.Pop. y Casa de la Cult. Estación Manzanares,hotmail
350,6638,1922-03-12,Bib.Pop. Bartolomé Mitre,yahoo
351,6638,2008-05-18,Bib.Pop. Palabras del Alma,gmail
352,6638,1978-01-03,Bib.Pop. Presidente Derqui,sin_dominio
353,6644,1980-01-01,Bib.Pop. de Ostende,sin_dominio
354,6644,1970-06-20,Bib.Pop. Manuel Belgrano,telpin
355,6651,1990-04-09,Casa de la Cult. y Bib.Pop. José Hernández,yahoo
356,6651,1988-01-08,Bib.Pop. Sur,yahoo
357,6651,1930-01-22,Bib.Pop. Bernardino Rivadavia,sin_dominio
358,6655,1941-07-19,Bib.Pop. Mariano Moreno,sin_dominio
359,6658,1980-01-01,Bib.Pop. José Manuel Estrada,sin_dominio
360,6658,1932-08-21,Mariano Moreno,sin_dominio
361,6091,1980-01-01,Bib.Pop. Fundaterra,yahoo
362,6658,1972-07-28,Bib.Pop. de Don Bosco,hotmail
363,6658,1998-08-17,Bib.Pop. de Ezpeleta Alfonsina Storni,yahoo
364,6658,1980-01-01,Bib.Pop. Atahualpas,sin_dominio
365,6658,1959-08-15,Bib.Pop. Pedro Goyena,yahoo
366,6658,2000-05-02,Bib. Pop. Los Cooperarios,yahoo
367,6658,1980-01-01,Asoc.y Bib.Pop. Dr. Juan Martín Vilaseca,gmail
368,6658,2011-12-07,Bib.Pop. del Río de Quilmes,yahoo
369,6028,1984-09-28,Bib.Pop. Juan Bautista Alberdi,sin_dominio
370,6028,1994-04-23,Bib.Pop. Joan Rico de Bahia,sin_dominio
371,6665,1999-05-25,Bib.Pop. Rincón de luz,sin_dominio
372,6665,1951-08-11,Bib.Pop. José Manuel Estrada,sin_dominio
